iter	Logloss
0	0.687241585
1	0.6813441246
2	0.6753702471
3	0.6683021053
4	0.6609501377
5	0.6552189242
6	0.6493954812
7	0.6444974099
8	0.6389184767
9	0.6326005382
10	0.6250818314
11	0.6196505639
12	0.6120956175
13	0.6068060475
14	0.6015441648
15	0.5966480009
16	0.5919627528
17	0.5871471282
18	0.580516323
19	0.5729206454
20	0.5679844272
21	0.5630061242
22	0.5572841398
23	0.5523383848
24	0.5474416671
25	0.5426552065
26	0.5381941026
27	0.5338373492
28	0.527838307
29	0.523500504
30	0.517315157
31	0.5122203827
32	0.5083617241
33	0.5022963862
34	0.4982069077
35	0.4933998662
36	0.4875494434
37	0.483418034
38	0.4778058144
39	0.4739961317
40	0.4700376449
41	0.4652631206
42	0.4612056363
43	0.4569383437
44	0.4517027947
45	0.4467816507
46	0.4428130734
47	0.4393738162
48	0.4350812974
49	0.4308842382
50	0.4275387487
51	0.4227872972
52	0.4195360368
53	0.4161151763
54	0.412608239
55	0.4094302885
56	0.40638253
57	0.4029197693
58	0.3991695835
59	0.395739217
60	0.3912397508
61	0.3884351792
62	0.385392189
63	0.3821425899
64	0.3790613297
65	0.3760571018
66	0.373507592
67	0.3694970223
68	0.3655170318
69	0.3630131137
70	0.3601630119
71	0.3572072368
72	0.3544917876
73	0.3518063945
74	0.3488589256
75	0.3463783879
76	0.3435091511
77	0.3397292476
78	0.337120856
79	0.3334532092
80	0.3306240574
81	0.3277967515
82	0.3251943896
83	0.322895573
84	0.3193878666
85	0.3172273944
86	0.314071563
87	0.3107107532
88	0.3084702953
89	0.3061904292
90	0.3041058202
91	0.3013820648
92	0.2993220668
93	0.2976289565
94	0.2955215823
95	0.292647977
96	0.2904307458
97	0.2877664258
98	0.2856143213
99	0.2830777322
100	0.280671212
101	0.2781085353
102	0.2759645524
103	0.2742776871
104	0.2722059065
105	0.2697220464
106	0.2667990961
107	0.2648661214
108	0.262536818
109	0.2600622792
110	0.2572942857
111	0.2555275732
112	0.2535969826
113	0.2511071697
114	0.2493426415
115	0.2470496085
116	0.2443731677
117	0.2420910251
118	0.239928061
119	0.2382528397
120	0.2366786157
121	0.234892599
122	0.2321446326
123	0.229906359
124	0.2278943523
125	0.2258565041
126	0.2238302231
127	0.2218298604
128	0.2196570981
129	0.2176042526
130	0.2159828678
131	0.214691439
132	0.2132235189
133	0.2111346337
134	0.2091318407
135	0.2069626931
136	0.2055106317
137	0.2031605321
138	0.2011883336
139	0.1992746169
140	0.1975010134
141	0.195731486
142	0.1946067964
143	0.1927997835
144	0.1907929144
145	0.1896642562
146	0.1881254873
147	0.1863420856
148	0.1846311015
149	0.1833888946
150	0.1820074974
151	0.1808907909
152	0.179920781
153	0.1786778819
154	0.1776010759
155	0.1767307097
156	0.175175836
157	0.1743155449
158	0.173076322
159	0.1718223941
160	0.1702632289
161	0.1691913297
162	0.1677869058
163	0.1665183037
164	0.165395629
165	0.1643389425
166	0.1634400122
167	0.1618828312
168	0.1604574111
169	0.1594069696
170	0.1581471351
171	0.1573194996
172	0.1561482645
173	0.1548989665
174	0.1537552803
175	0.1523081256
176	0.1514735068
177	0.150160328
178	0.1489566065
179	0.1478368698
180	0.1466095832
181	0.1454117529
182	0.1442608679
183	0.1429484737
184	0.1418040183
185	0.1407528846
186	0.1396402851
187	0.138593766
188	0.1374200852
189	0.136804796
190	0.1359421669
191	0.1352330023
192	0.1342176007
193	0.1331651749
194	0.1322510935
195	0.1315933197
196	0.1306429832
197	0.129650762
198	0.1288458455
199	0.1277259704
200	0.1270255735
201	0.1261737424
202	0.1252865714
203	0.1243526628
204	0.1235136986
205	0.1227246177
206	0.1217044784
207	0.1211300742
208	0.1203096144
209	0.119558865
210	0.1186294094
211	0.1180303789
212	0.117405753
213	0.1163627717
214	0.1155749521
215	0.1151383692
216	0.1143486192
217	0.1134633864
218	0.1130323641
219	0.1123624309
220	0.1114177242
221	0.1109111617
222	0.110229
223	0.1095374015
224	0.1089240659
225	0.1082430501
226	0.107582
227	0.1070768833
228	0.1064964571
229	0.1059425569
230	0.1054869775
231	0.1048131143
232	0.1044263224
233	0.1037741476
234	0.1032325683
235	0.1024249523
236	0.1017677707
237	0.1011232945
238	0.1007424785
239	0.1002733169
240	0.09989333922
241	0.09933388618
242	0.09893329682
243	0.09830707119
244	0.09791437272
245	0.09757705658
246	0.09726649715
247	0.09671386596
248	0.09608756342
249	0.09542523661
250	0.09491514391
251	0.09460023142
252	0.09420982484
253	0.09364809528
254	0.09321653458
255	0.09270297327
256	0.09232154969
257	0.09191154665
258	0.09143267908
259	0.0908680116
260	0.09043951188
261	0.08998553984
262	0.08962865799
263	0.08924273522
264	0.08869894089
265	0.08826935676
266	0.0879190045
267	0.08761463627
268	0.08725690842
269	0.08675872126
270	0.08649032347
271	0.08620897416
272	0.08577742115
273	0.08526767454
274	0.08493303484
275	0.08461150815
276	0.08420746557
277	0.08381214449
278	0.08344390315
279	0.08314794879
280	0.08263602564
281	0.08225447132
282	0.08191245602
283	0.08152070353
284	0.08109224996
285	0.08085043969
286	0.08060061547
287	0.08026023834
288	0.07997332081
289	0.07961744647
290	0.07932350712
291	0.07891847241
292	0.07853320337
293	0.07819818681
294	0.07792053684
295	0.07763868763
296	0.07721681749
297	0.07698672818
298	0.07672188359
299	0.07639513477
300	0.07605557288
301	0.07580324911
302	0.07546039551
303	0.07522684528
304	0.07497769017
305	0.07472891192
306	0.07446951251
307	0.07410732392
308	0.07389463917
309	0.07361785058
310	0.07338246992
311	0.07310539676
312	0.07280362037
313	0.07245321428
314	0.07202266878
315	0.07158926225
316	0.07134816723
317	0.07115291011
318	0.07086663092
319	0.07046846421
320	0.07022202399
321	0.0700148767
322	0.06973326591
323	0.06948705642
324	0.06919803927
325	0.06899410678
326	0.06877801495
327	0.0685927791
328	0.06839559924
329	0.06819269734
330	0.06792006954
331	0.06771509878
332	0.06753832294
333	0.06726045762
334	0.06688961675
335	0.06670180444
336	0.06649676446
337	0.06609369093
338	0.06581515651
339	0.06550515083
340	0.06536122291
341	0.06517534871
342	0.06484548507
343	0.0646428139
344	0.06446129276
345	0.06427197687
346	0.0640512551
347	0.06386516171
348	0.06364961593
349	0.06345502407
350	0.06326416231
351	0.06299332649
352	0.06276056843
353	0.06253512059
354	0.06231885572
355	0.062096565
356	0.06192428835
357	0.06177401543
358	0.06157017908
359	0.06142588585
360	0.06126892951
361	0.06111943337
362	0.06086438702
363	0.06069620963
364	0.06053295828
365	0.0603892111
366	0.0601721156
367	0.06000279611
368	0.05986651682
369	0.05968459191
370	0.05946826166
371	0.05933401277
372	0.05917699875
373	0.05896969764
374	0.05878330815
375	0.05863289679
376	0.05847292177
377	0.0583135851
378	0.05817545614
379	0.05797088146
380	0.05783567121
381	0.05764691291
382	0.05748067364
383	0.05733081602
384	0.0572022315
385	0.05707338164
386	0.05694330892
387	0.0567899827
388	0.05666276716
389	0.05650432648
390	0.05639846863
391	0.05617872746
392	0.0560747385
393	0.05595247207
394	0.05583476251
395	0.05565527562
396	0.05553485501
397	0.05540923918
398	0.05528106228
399	0.05509250779
400	0.05494936051
401	0.05482592121
402	0.05470418161
403	0.05452951308
404	0.05438528138
405	0.05418118354
406	0.05400311947
407	0.05388296035
408	0.05375293762
409	0.05363932733
410	0.05352540939
411	0.05340227773
412	0.05329110545
413	0.05315592981
414	0.05304455373
415	0.0529341044
416	0.05283131907
417	0.05277235662
418	0.05267770829
419	0.05250555469
420	0.05235094024
421	0.05227185834
